epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.163,0.7867,3.11866,1.2905,0.69103,0.28135,0.15899,0.10519,1.0459,3.10898,1.6717,0.000157198,0.000157198,0.000157198
2,837.936,0.72717,2.18008,1.25024,0.43058,0.31835,0.16899,0.12188,1.01053,2.82543,1.62769,0.00030961,0.00030961,0.00030961
3,1273.44,0.70772,1.91673,1.21783,0.41346,0.28413,0.16271,0.1053,1.09195,2.61037,1.75293,0.000455739,0.000455739,0.000455739
4,1714.29,0.65591,1.70091,1.17499,0.74234,0.25572,0.2253,0.15558,1.03629,2.31896,1.69586,0.000447726,0.000447726,0.000447726
5,2259.43,0.6565,1.63405,1.16968,0.61945,0.31962,0.214,0.15142,0.95031,2.11503,1.56343,0.000438301,0.000438301,0.000438301
6,2697.01,0.63313,1.52473,1.15799,0.62647,0.40836,0.27167,0.1895,0.89767,1.88791,1.50359,0.000428876,0.000428876,0.000428876
7,3285.38,0.5944,1.43816,1.12684,0.63769,0.25344,0.25349,0.17845,0.95328,2.00514,1.54824,0.000419451,0.000419451,0.000419451
8,3719.97,0.58185,1.3989,1.11417,0.46113,0.31979,0.26569,0.19064,0.89257,1.96801,1.50812,0.000410026,0.000410026,0.000410026
9,4186.1,0.57856,1.34971,1.1117,0.59079,0.32821,0.23049,0.14808,0.93536,1.8081,1.53527,0.000400602,0.000400602,0.000400602
10,4631.06,0.56809,1.3364,1.1042,0.46231,0.40394,0.25221,0.18824,0.87539,1.74599,1.44882,0.000391177,0.000391177,0.000391177
11,5075.79,0.55784,1.29155,1.10672,0.61173,0.36182,0.27392,0.20704,0.92852,1.68862,1.53989,0.000381752,0.000381752,0.000381752
12,5545.08,0.56075,1.2326,1.10972,0.58228,0.33745,0.27043,0.19021,0.90377,1.81278,1.53541,0.000372327,0.000372327,0.000372327
13,5985.45,0.52858,1.19771,1.07716,0.58113,0.33041,0.20267,0.15619,0.82982,1.73886,1.42959,0.000362902,0.000362902,0.000362902
14,6429,0.52769,1.17041,1.09654,0.45819,0.34428,0.25854,0.1939,0.85399,1.66444,1.42169,0.000353478,0.000353478,0.000353478
15,7145.5,0.50884,1.14315,1.0754,0.45566,0.40137,0.25305,0.18275,0.84265,1.87426,1.4346,0.000344053,0.000344053,0.000344053
16,7583.15,0.492,1.09715,1.06165,0.61129,0.34701,0.25397,0.19318,0.79978,1.5806,1.39041,0.000334628,0.000334628,0.000334628
17,8923.6,0.49529,1.08572,1.05518,0.47544,0.42179,0.23684,0.18452,0.83352,1.67367,1.44173,0.000325203,0.000325203,0.000325203
18,9387.38,0.48113,1.0392,1.05531,0.487,0.30984,0.22786,0.1769,0.8331,1.56539,1.4345,0.000315778,0.000315778,0.000315778
19,9801.95,0.4935,1.0697,1.0597,0.48163,0.38198,0.22831,0.17629,0.89738,1.56396,1.47799,0.000306354,0.000306354,0.000306354
20,10231.8,0.47926,1.01818,1.05668,0.46683,0.33496,0.24226,0.18476,0.85181,1.7562,1.44616,0.000296929,0.000296929,0.000296929
21,10677,0.47603,0.99735,1.04724,0.46168,0.3525,0.24402,0.18346,0.79597,1.58253,1.40129,0.000287504,0.000287504,0.000287504
